weibo_id,user_name,user_link,weibo_content,original,publish_place,publish_time,publish_tool,like_num,retweet_num,comment_num
JtAjF8lM4,Shmily琴花,https://weibo.cn/u/6525762645,Shmily琴花:#医生做4小时手术后喝葡萄糖遭网友质疑#      我来发表我对这件事成因的拙见      我们每个人都是独立的个体，对事物的看法多多少少都有差别。对于比较看重钱的人（没有贬义）或者是说对钱比较敏感的（银行工作人员?），看到喝葡萄糖水可能就会联想到钱这事情上，如果再加自己的主观臆测，抛之于网上，也许ta只想知道，钱由谁出。但是，不同人有不同的网络圈子（物以类聚，人以群分），于是ta的问题在ta的圈子里，众说纷纭，再扩散，成为社会上的问题。 引起大众的评论，同最初的圈子一样，懂的于不懂的，都来参与，加之，从业人员或者说知情人员在议论人群中占比少，就造成了一个有趣的情况-“真理掌握在少数人手里”，众多的声音淹没了他们。       对此，我觉得。这种事大家应该先咨询你相关的朋友，或者说是去网络上搜一搜，问一问。避免误导舆论走向。我们应当对未知的事物抱敬畏之心。科学求证，严谨回答。知之为知之，不知为不知，是知也。       网络不是法外之地，有人冒充专业的人回答这类问题，也是会受到严厉处罚的，所以大家对相关人员的话的真实性，我觉得可以基本放心。      同时，医务人员也是人，虽然我不懂，但将心比心，连续四小时手术，手上的是生命，价值是无法估量的，相比那一瓶葡萄糖，简直微不足道。钱本身代表的应该是“劳动力”（?），一瓶葡萄糖和生命相比，完全没有可比性。（随性而写，不知所言，有错请提，谢谢）（少有玩微博，第一次发表看法，不喜勿喷，谢谢） ,True,无,2020-11-12 18:50,Redmi 10X 全芯超越,0,0,0
JtAid0UIO,西安讯点,https://weibo.cn/u/3151530492,西安讯点:【#西安# 医生回应连做4小时手术后豪饮葡萄糖遭质疑：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有网友质疑“这水谁付钱”，据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。记者今天也专门采访了医生，其实这样的医用葡萄糖水味道不比平常的葡萄糖饮料，葡萄糖水的费用也会计入手术室的成本消耗，并不会计入患者的账单。网友有这样的批评可能是对医疗体系的不了解导致的误解，很正常，当然也感谢还有那么多网友对此事的理解。（陕西都市快报） http://t.cn/A6Ga1uFa ,True,无,2020-11-12 18:47,微博视频号,0,1,3
JtAeljV4W,动静贵州,https://weibo.cn/dongjingguizhou,动静贵州:【#医生回应手术后喝葡萄糖水被质疑#：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@中国之声 http://t.cn/A6Ga1yWl ,True,无,2020-11-12 18:37,微博视频号,1,0,0
JtAbngFMy,中国之声,https://weibo.cn/cnrzgzs,中国之声:【#医生回应手术后喝葡萄糖水被质疑#：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@N视频 http://t.cn/A6GiPwv9 ,True,无,2020-11-12 18:30,微博视频号,1156,25,152
JtA4OAflj,各界导报社官微,https://weibo.cn/u/3804173419,各界导报社官微:【医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应】#医生回应在手术室喝葡萄糖#近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。L燃新闻的微博视频http://t.cn/A6G6T03F ,True,无,2020-11-12 18:14,微博视频号,0,0,0
JtA4zhMaB,兴国发布,https://weibo.cn/xingguofabu,兴国发布:【医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应】#医生回应在手术室喝葡萄糖#近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。http://t.cn/A6G6T03F http://t.cn/A6GauoYp ,True,无,2020-11-12 18:13,iPhone客户端,1,0,0
JtA4OAflj,各界导报社官微,https://weibo.cn/u/3804173419,各界导报社官微:【医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应】#医生回应在手术室喝葡萄糖#近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。L燃新闻的微博视频http://t.cn/A6G6T03F ,True,无,2020-11-12 18:14,微博视频号,0,0,0
JtA4zhMaB,兴国发布,https://weibo.cn/xingguofabu,兴国发布:【医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应】#医生回应在手术室喝葡萄糖#近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。http://t.cn/A6G6T03F http://t.cn/A6GauoYp ,True,无,2020-11-12 18:13,iPhone客户端,1,0,0
JtA328WB8,胃肠外科童教授,https://weibo.cn/tongweidong,胃肠外科童教授:#医生手术后喝葡萄糖水遭质疑# 我想说：1、医生手术室喝葡萄糖那是极少数情况，手术艰难时间长，真口渴。我从医27年没超过5次吧。2、绝不会记到病人头上，病人的帐是接照输液计算的。3、一般应该记在手术室成本，因为太便宜了，沒人在乎。4、感谢大家对外科医生的理解，手术不易，生死之间。#肛肠病防治# http://t.cn/A6Gau6np [组图共9张] 原图 ,True,无,2020-11-12 18:09,结直肠外科Android,17,0,10
JtA26upar,西安日报,https://weibo.cn/xarb,西安日报:#陕西#【#医生回应在手术室喝葡萄糖# 费用算科室成本】近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频引来部分网友质疑：费用算谁的？面对质疑，该博主次日发布视频做出澄清。当天，该医生凌晨4点下手术台，由于手术途中不能喝水，术后就喝了一瓶含量5%的葡萄糖水。医生表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。http://t.cn/A6G6T03F ,True,无,2020-11-12 18:07,iPhone客户端,2,0,1
JtA1hl35j,陕西省文化和旅游厅,https://weibo.cn/shaanxitour,陕西省文化和旅游厅:#陕西#【#医生回应在手术室喝葡萄糖# 费用算科室成本】近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频引来部分网友质疑：费用算谁的？面对质疑，该博主次日发布视频做出澄清。当天，该医生凌晨4点下手术台，由于手术途中不能喝水，术后就喝了一瓶含量5%的葡萄糖水。医生表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。http://t.cn/A6G6T03F ,True,无,2020-11-12 18:05,iPhone客户端,8,0,3
JtzWhrcto,西安新闻网,https://weibo.cn/u/2208160981,西安新闻网:【“豪饮葡萄糖”医生接受专访：感谢网友理解！】#医生回应手术后喝葡萄糖水# 近日，一段“医生术后豪饮葡萄糖吊瓶的视频在网络上走红，没想到却引来部分网友的质疑。小布专门前往该医院，采访了当事医生，还原了这件事情的前因后果~http://t.cn/A6Ga8IJz #医生做4小时手术后喝葡萄糖遭网友质疑# http://t.cn/A6Ga8MtC ,True,无,2020-11-12 17:53,微博视频号,0,0,0
JtzW5xwcu,小龙察观,https://weibo.cn/u/5234818292,小龙察观:#陕西#【#医生回应在手术室喝葡萄糖# 费用算科室成本】近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频引来部分网友质疑：费用算谁的？面对质疑，该博主次日发布视频做出澄清。当天，该医生凌晨4点下手术台，由于手术途中不能喝水，术后就喝了一瓶含量5%的葡萄糖水。医生表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。http://t.cn/A6G6T03F ,True,无,2020-11-12 17:52,微博视频号,1,0,1
JtzUml7HS,三秦二三事,https://weibo.cn/mtrxl,三秦二三事:#三秦二三事[超话]# 【#医生做4小时手术后喝葡萄糖遭网友质疑#：费用算谁的？本人回应】近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。 http://t.cn/A6G6T03F ,True,无,2020-11-12 17:48,iPhone XS Max,0,0,0
JtzPBte8r,广涉广播站,https://weibo.cn/swgbz,广涉广播站:欢迎收听五点新闻直播，我是苏俊轩，我是李冠宁。今天是2020年11月12日，星期四。新闻的主要内容有：1. 提质增效，增强综合国力2.特朗普败选！中国留学家庭头上的两座大山还剩一个3.内需潜力加速释放4.非洲多国全力保障农业生产5.医生通宵手术后喝葡萄糖吊瓶遭网友质疑今天 晴，气温是16至28摄氏度，预计明天天气晴，气温19至26摄氏度。 ,True,无,2020-11-12 17:36,nova 5i Pro,1,0,0
JtzBWekBm,西安发布,https://weibo.cn/u/3757167087,西安发布:【“豪饮葡萄糖”医生接受小布专访：感谢网友理解！】#医生回应手术后喝葡萄糖水# 近日，一段“医生术后豪饮葡萄糖吊瓶的视频在网络上走红，没想到却引来部分网友的质疑。小布专门前往该医院，采访了当事医生，还原了这件事情的前因后果~http://t.cn/A6Ga8IJz #医生做4小时手术后喝葡萄糖遭网友质疑#  http://t.cn/A6Ga8MtC ,True,无,2020-11-12 17:02,微博视频号,11,2,5
JtAid0UIO,西安讯点,https://weibo.cn/u/3151530492,西安讯点:【#西安# 医生回应连做4小时手术后豪饮葡萄糖遭质疑：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有网友质疑“这水谁付钱”，据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。记者今天也专门采访了医生，其实这样的医用葡萄糖水味道不比平常的葡萄糖饮料，葡萄糖水的费用也会计入手术室的成本消耗，并不会计入患者的账单。网友有这样的批评可能是对医疗体系的不了解导致的误解，很正常，当然也感谢还有那么多网友对此事的理解。（陕西都市快报） http://t.cn/A6Ga1uFa ,True,无,2020-11-12 18:47,微博视频号,0,1,3
JtAgDrLZh,直通屏山,https://weibo.cn/dnwztps,直通屏山:【#医生回应手术后喝葡萄糖水被质疑#：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@N视频 http://t.cn/A6GiPwv9 ,True,无,2020-11-12 18:43,微博视频号,0,0,0
JtAeljV4W,动静贵州,https://weibo.cn/dongjingguizhou,动静贵州:【#医生回应手术后喝葡萄糖水被质疑#：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@中国之声 http://t.cn/A6Ga1yWl ,True,无,2020-11-12 18:37,微博视频号,1,0,0
JtAe5khuc,记得努力奔跑,https://weibo.cn/u/6204686537,"转发理由:知道葡萄糖有多难喝么，不到万不得已谁会喝这个，一台手术有的多达十个小时，医生总不能饿昏在手术台上吧，还是杠精觉得病人躺床上，医生应该去吃完饭再回来做手术？做个人吧！整天别怼天怼地怼空气，精力充沛就去工地搬砖丰富自己的腰包，健壮自己的体魄  
原始用户: 中新经纬
转发内容: 【媒体：怀疑医生喝葡萄糖“占便宜”，是网暴者的无知】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。该名医生表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。中国青年报评论：显然，质疑者不光缺乏对医院收费系统运行机制的了解，也体会不到医生真实的工作状态，更拿不出指控当事医生的直接证据。“医生占患者便宜”的假设，只是他们基于偏见产生的想象。http://t.cn/A6GiPwv9 ",False,无,2020-11-12 18:36,HUAWEI Mate 30 5G,0,0,0
JtAbngFMy,中国之声,https://weibo.cn/cnrzgzs,中国之声:【#医生回应手术后喝葡萄糖水被质疑#：算进科室支出】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。@N视频 http://t.cn/A6GiPwv9 ,True,无,2020-11-12 18:30,微博视频号,1156,25,152
JtA4OAflj,各界导报社官微,https://weibo.cn/u/3804173419,各界导报社官微:【医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应】#医生回应在手术室喝葡萄糖#近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。L燃新闻的微博视频http://t.cn/A6G6T03F ,True,无,2020-11-12 18:14,微博视频号,0,0,0
JtA4zhMaB,兴国发布,https://weibo.cn/xingguofabu,兴国发布:【医生连做4小时手术后喝葡萄糖遭质疑：费用算谁的？本人回应】#医生回应在手术室喝葡萄糖#近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频意外走红，却也引来部分网友质疑：这水谁付钱？面对质疑，该博主次日发布视频做出澄清。当天，自己在做一台脑干出血的手术，做了四个多小时，凌晨4点刚下手术台，由于手术途中不能喝水，嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。当事人表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。他还说，作为一名医生，相信很多同行都有过类似的经历。http://t.cn/A6G6T03F http://t.cn/A6GauoYp ,True,无,2020-11-12 18:13,iPhone客户端,1,0,0
JtA328WB8,胃肠外科童教授,https://weibo.cn/tongweidong,胃肠外科童教授:#医生手术后喝葡萄糖水遭质疑# 我想说：1、医生手术室喝葡萄糖那是极少数情况，手术艰难时间长，真口渴。我从医27年没超过5次吧。2、绝不会记到病人头上，病人的帐是接照输液计算的。3、一般应该记在手术室成本，因为太便宜了，沒人在乎。4、感谢大家对外科医生的理解，手术不易，生死之间。#肛肠病防治# http://t.cn/A6Gau6np [组图共9张] 原图 ,True,无,2020-11-12 18:09,结直肠外科Android,17,0,10
JtA26upar,西安日报,https://weibo.cn/xarb,西安日报:#陕西#【#医生回应在手术室喝葡萄糖# 费用算科室成本】近日，一位陕西西安的医生在网上分享了一段自己术后“豪饮”葡萄糖水的视频。这段视频引来部分网友质疑：费用算谁的？面对质疑，该博主次日发布视频做出澄清。当天，该医生凌晨4点下手术台，由于手术途中不能喝水，术后就喝了一瓶含量5%的葡萄糖水。医生表示，这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。http://t.cn/A6G6T03F ,True,无,2020-11-12 18:07,iPhone客户端,2,0,1
JtxD1erjW,南都周刊,https://weibo.cn/nbweekly,南都周刊:【媒体：怀疑医生喝葡萄糖“占便宜”，是网暴者的无知】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。该名医生表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。中国青年报评论：显然，质疑者不光缺乏对医院收费系统运行机制的了解，也体会不到医生真实的工作状态，更拿不出指控当事医生的直接证据。“医生占患者便宜”的假设，只是他们基于偏见产生的想象。http://t.cn/A6GiPwv9 ,True,无,2020-11-12 12:00,微博视频号,187,13,43
JtxA68w65,志愿者李仕铭,https://weibo.cn/zyzlishiming,志愿者李仕铭:医生做手术那是高度的紧张，体力体能消耗都非常大，即使不是嗓子干的，冒了烟喝一瓶葡萄糖水，补充一下也无可厚非。其实这反应的还是一个医患之间的关系问题【医生手术后喝葡萄糖水遭质疑，回应: 算进科室支出…】近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟了，就直接喝了一瓶含量5%的葡萄糖水。对于网友的质疑，他表示这瓶水是算进科室成本里，手术中算进病人的费用是需要开具处方的。#你怎么看# http://t.cn/A6GiPwv9#点亮志愿者[超话]##湖南志愿服务[超话]# ,True,无,2020-11-12 11:52,湖南志愿服务超话,2,2,1
JtxxOyLwM,大西安那点事儿,https://weibo.cn/xianyangtoutiao,"大西安那点事儿:【#西安#医生手术后喝葡萄糖水遭质疑,回应: 算进科室支出】  近日，一段医生手术后豪饮葡萄糖吊瓶的视频在网上走红，有部分网友质疑“这水谁付钱”。据悉，该名医生名叫郑涛，是陕西西安某医院神经外科医生，他表示，当天在做一台脑干出血的手术，凌晨4点刚下手术台，由于手术中途不能喝水，当时嗓子都快冒烟 ....来源：  http://t.cn/A6GiPwv9 ",True,无,2020-11-12 11:47,微博视频号,4,0,1
Jtxkfw7VV,新闻110,https://weibo.cn/fztv968110,新闻110:【#医生手术后喝葡萄糖水遭质疑# ？网友出手了……】近日一段医生手术后“豪饮”葡萄糖的视频在网上引起关注，部分网友质疑“这瓶葡萄糖谁付钱？”据悉，该医生名叫郑涛，是陕西西安某医院神经外科医生。当天郑涛做了一台脑干出血的手术，历时约4小时，凌晨4点才下手术台。由于手术中途不能喝水，加上又饿又累，就直接喝了一瓶含量5%的葡萄糖水。郑涛在接受记者采访时再次重申这瓶水是算进科室成本里，不会算在病人身上。令人欣慰的是，更多清醒理智的网友对医生的工作表示理解和支持。小编想说要不是体力不支迫不得已，好好吃个饭不香吗？多一些理解，多一份温暖。 [组图共6张] 原图 ,True,无,2020-11-12 11:13,微博 weibo.com,3,0,1
